Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Advanced Microservices","","","","","10.1007/978-1-4842-2887-6","Thomas Hunter II","2017","http://link.springer.com/book/10.1007/978-1-4842-2887-6","Book"
"Microservices, IoT, and Azure","","","","","10.1007/978-1-4842-1275-2","Bob Familiar","2015","http://link.springer.com/book/10.1007/978-1-4842-1275-2","Book"
"Metric Based Cloud Infrastructure Monitoring","Advances on P2P, Parallel, Grid, Cloud and Internet Computing","","","","10.1007/978-3-319-69835-9_37","Ales KomarekJakub PavlikLubos MerclVladimir Sobeslav","2018","http://link.springer.com/chapter/10.1007/978-3-319-69835-9_37","Chapter"
"Smart Cities on the Cloud","Mediterranean Cities and Island Communities","","","","10.1007/978-3-319-99444-4_3","Christina KakderiPanagiotis TsarchopoulosNicos KomninosAnastasia Panori","2019","http://link.springer.com/chapter/10.1007/978-3-319-99444-4_3","Chapter"
"The American scene","Communications After ad2000","","","","10.1007/978-1-4615-3066-4_2","J. S. Mayo","1993","http://link.springer.com/chapter/10.1007/978-1-4615-3066-4_2","Chapter"
"CIO in a Service Economy","Service Systems Implementation","","","","10.1007/978-1-4419-7904-9_10","Paul G. Sorenson","2011","http://link.springer.com/chapter/10.1007/978-1-4419-7904-9_10","Chapter"
"Potentials of community-based tourism in transformations towards green economies after the 2008 Wenchuan earthquake in West China","Journal of Mountain Science","","13","9","10.1007/s11629-015-3510-1","Yong Tang","2016","http://link.springer.com/article/10.1007/s11629-015-3510-1","Article"
"ITS, The End of the World as We Know It: Transitioning AIED into a Service-Oriented Ecosystem","International Journal of Artificial Intelligence in Education","","26","2","10.1007/s40593-016-0098-8","Benjamin D. Nye","2016","http://link.springer.com/article/10.1007/s40593-016-0098-8","Article"
"Containerized Distributed Rendering for Interactive Environments","Virtual Reality and Augmented Reality","","","","10.1007/978-3-319-72323-5_5","Björn Ludolf GerdauMartin WeierAndré Hinkenjann","2017","http://link.springer.com/chapter/10.1007/978-3-319-72323-5_5","Chapter"
"Scaling Your Reactively Programmed Systems","Reactive Programming with Node.js","","","","10.1007/978-1-4842-2152-5_9","Fernando Doglio","2016","http://link.springer.com/chapter/10.1007/978-1-4842-2152-5_9","Chapter"
"Technology as a Catalyst of Change: Enablers and Barriers of the Tourist Experience and Their Consequences","Information and Communication Technologies in Tourism 2015","","","","10.1007/978-3-319-14343-9_57","Barbara NeuhoferDimitrios BuhalisAdele Ladkin","2015","http://link.springer.com/chapter/10.1007/978-3-319-14343-9_57","Chapter"
"Thinking Further Outside the Box","Changing Welfare","","","","10.1007/978-1-4419-9274-1_9","David Hopping","2003","http://link.springer.com/chapter/10.1007/978-1-4419-9274-1_9","Chapter"
"Expanding Children’s Digital Literacy Experiences and Skills: Public Library Practices in Guangzhou, China","Information Literacy: Key to an Inclusive Society","","","","10.1007/978-3-319-52162-6_46","Qiong TangCuihong WuYantao Pan","2016","http://link.springer.com/chapter/10.1007/978-3-319-52162-6_46","Chapter"
"Apollo – End-to-End Verifiable Internet Voting with Recovery from Vote Manipulation","Electronic Voting","","","","10.1007/978-3-319-52240-1_8","Dawid GawełMaciej KosarzeckiPoorvi L. VoraHua WuFilip Zagórski","2017","http://link.springer.com/chapter/10.1007/978-3-319-52240-1_8","Chapter"
"Conceptual and Institutional Origins of Gender Budgeting","Gender Budgeting in Europe","","","","10.1007/978-3-319-64891-0_2","Angela O’Hagan","2018","http://link.springer.com/chapter/10.1007/978-3-319-64891-0_2","Chapter"
"Mobile Test Automation","Android Continuous Integration","","","","10.1007/978-1-4842-2796-1_2","Pradeep Macharla","2017","http://link.springer.com/chapter/10.1007/978-1-4842-2796-1_2","Chapter"
"Web API-Based NAT Traversal in Managed Network Blocks","Complex, Intelligent, and Software Intensive Systems","","","","10.1007/978-3-319-93659-8_60","Ryusei SakaMinoru Uehara","2019","http://link.springer.com/chapter/10.1007/978-3-319-93659-8_60","Chapter"
"The Interdependent Part of Cloud Computing: Dew Computing","Intelligent Communication and Computational Technologies","","","","10.1007/978-981-10-5523-2_32","Hiral M. PatelRupal R. ChaudhariKinjal R. PrajapatiAmi A. Patel","2018","http://link.springer.com/chapter/10.1007/978-981-10-5523-2_32","Chapter"
"An End-User Development Framework to Support Quantified Self in Sport Teams","New Perspectives in End-User Development","","","","10.1007/978-3-319-60291-2_16","Stefano ValtolinaBarbara R. Barricelli","2017","http://link.springer.com/chapter/10.1007/978-3-319-60291-2_16","Chapter"
"Evolution of Family Policies in Post-Conflict Sierra Leone","Journal of Child and Family Studies","","21","1","10.1007/s10826-011-9495-7","A. M. Akinsulure-SmithHawthorne E. Smith","2012","http://link.springer.com/article/10.1007/s10826-011-9495-7","Article"
"$$\textit{i2kit}$$
                  
                    
                      
                        i
                        2
                        kit
                      
                    
                  
                : A Deployment Tool with the Simplicity of Containers and the Security of Virtual Machines","Web Information Systems Engineering – WISE 2018","","","","10.1007/978-3-030-02922-7_6","Pablo Chico de GuzmánFelipe GorostiagaCésar Sánchez","2018","http://link.springer.com/chapter/10.1007/978-3-030-02922-7_6","Chapter"
"Next Generation DevOps Initiatives","Building Your Next Big Thing with Google Cloud Platform","","","","10.1007/978-1-4842-1004-8_6","S. P. T. KrishnanJose L. Ugia Gonzalez","2015","http://link.springer.com/chapter/10.1007/978-1-4842-1004-8_6","Chapter"
"Making the Case for Centralized Software Architecture Management","Software Quality. The Future of Systems- and Software Development","","","","10.1007/978-3-319-27033-3_8","Georg BuchgeherRainer WeinreichThomas Kriechbaum","2016","http://link.springer.com/chapter/10.1007/978-3-319-27033-3_8","Chapter"
"Fundamental Misunderstandings","Broken Agile","","","","10.1007/978-1-4842-1745-0_12","Tim Brizard","2015","http://link.springer.com/chapter/10.1007/978-1-4842-1745-0_12","Chapter"
"Tracking Personal Identifiers Across the Web","Passive and Active Measurement","","","","10.1007/978-3-319-30505-9_3","Marjan FalahrastegarHamed HaddadiSteve UhligRichard Mortier","2016","http://link.springer.com/chapter/10.1007/978-3-319-30505-9_3","Chapter"
"The Philippines in the Regional Division of Labour","Regionalization and Labour Market Interdependence in East and Southeast Asia","","","","10.1007/978-1-349-25931-1_9","Aniceto C. Orbeta JrMaria Teresa C. Sanchez","1997","http://link.springer.com/chapter/10.1007/978-1-349-25931-1_9","Chapter"
"Queuing-Based Processing Platform for Service Delivery in Big Data Environments","Exploring Services Science","","","","10.1007/978-3-319-32689-4_38","Florin StancuDan PopaLoredana-Marsilia GrozaFlorin Pop","2016","http://link.springer.com/chapter/10.1007/978-3-319-32689-4_38","Chapter"
"A Conceptual Approach to Organizational Competence for Servitization","Organizational Competence for Servitization","","","","10.1007/978-3-658-20096-1_4","Tim Posselt","2018","http://link.springer.com/chapter/10.1007/978-3-658-20096-1_4","Chapter"
"The Wandering Logic of Intelligence","Intelligence in Networks","","","","10.1007/978-0-387-35581-8_23","Plamen L. Simeonov","2000","http://link.springer.com/chapter/10.1007/978-0-387-35581-8_23","Chapter"
"Managing Patient Observation Sheets in Hospitals Using Cloud Services","Exploring Service Science","","","","10.1007/978-3-030-00713-3_27","Florin AntonTheodor BorangiuSilviu RaileanuIulia IacobSilvia Anton","2018","http://link.springer.com/chapter/10.1007/978-3-030-00713-3_27","Chapter"
"Phenethyl isothiocyanate upregulates death receptors 4 and 5 and inhibits proliferation in human cancer stem-like cells","BMC Cancer","","14","1","10.1186/1471-2407-14-591","Dan WangBijaya UpadhyayaYi LiuDavid KnudsenMoul Dey","2014","http://link.springer.com/article/10.1186/1471-2407-14-591","Article"
"Service Oriented Testbed Infrastructures: a Cross-Layer Approach for NGNs","Mobile Networks and Applications","","15","3","10.1007/s11036-009-0201-6","Niklas BlumThomas MagedanzFlorian SchreinerSebastian Wahle","2010","http://link.springer.com/article/10.1007/s11036-009-0201-6","Article"
"Good Practices on Civic Engagement in Chile and the Role of Promoting Prosocial Behaviors in School Settings","Civics and Citizenship","","","","10.1007/978-94-6351-068-4_11","B. Paula Luengo KanacriGloria Jiménez-Moya","2017","http://link.springer.com/chapter/10.1007/978-94-6351-068-4_11","Chapter"
"A Survey on Software Tools and Architectures for Deploying Multimedia-Aware Cloud Applications","Algorithmic Aspects of Cloud Computing","","","","10.1007/978-3-319-29919-8_13","Christos TseliosGeorge Tsolis","2016","http://link.springer.com/chapter/10.1007/978-3-319-29919-8_13","Chapter"
"Requirement-Based Deployment of Applications in Calvin","Interoperability and Open-Source Solutions for the Internet of Things","","","","10.1007/978-3-319-56877-5_5","Ola AngelsmarkPer Persson","2017","http://link.springer.com/chapter/10.1007/978-3-319-56877-5_5","Chapter"
"Toward a framework for self-adaptive workflows in cyber-physical systems","Software & Systems Modeling","","","","10.1007/s10270-017-0639-0","Ronny SeigerSteffen HuberPeter HeisigUwe Aßmann","2017","http://link.springer.com/article/10.1007/s10270-017-0639-0","Article"
"The Orthanc Ecosystem for Medical Imaging","Journal of Digital Imaging","","31","3","10.1007/s10278-018-0082-y","Sébastien Jodogne","2018","http://link.springer.com/article/10.1007/s10278-018-0082-y","Article"
"Technisches Konzept einer Mobilitätsplattform","Management digitaler Plattformen","","","","10.1007/978-3-658-21214-8_4","Stephan PieperFelix KundePetra Sauer","2018","http://link.springer.com/chapter/10.1007/978-3-658-21214-8_4","Chapter"
"All the Services Large and Micro: Revisiting Industrial Practice in Services Computing","Service-Oriented Computing – ICSOC 2015 Workshops","","","","10.1007/978-3-662-50539-7_4","Gerald SchermannJürgen CitoPhilipp Leitner","2016","http://link.springer.com/chapter/10.1007/978-3-662-50539-7_4","Chapter"
"Toward Sustainable Family Policies in Sierra Leone: Developments and Recommendations","Handbook of Family Policies Across the Globe","","","","10.1007/978-1-4614-6771-7_2","Adeyinka M. Akinsulure-Smith Ph.D.Hawthorne E. Smith Ph.D.","2014","http://link.springer.com/chapter/10.1007/978-1-4614-6771-7_2","Chapter"
"From service delivery to integrated SOA based application delivery in the telecommunication industry","Journal of Internet Services and Applications","","2","2","10.1007/s13174-011-0028-9","Christian MenkensMichael Wuertinger","2011","http://link.springer.com/article/10.1007/s13174-011-0028-9","Article"
"Informal Payments for Healthcare Services in Lithuania and Ukraine","Informal Economies in Post-Socialist Spaces","","","","10.1057/9781137483072_10","Tetiana StepurkoMilena PavlovaIrena GrygaLiubove MurauskieneWim Groot","2015","http://link.springer.com/chapter/10.1057/9781137483072_10","Chapter"
"In the Journey of User Center Design for the Virtual Environment","Advances in Usability, User Experience and Assistive Technology","","","","10.1007/978-3-319-94947-5_59","Norma Antunano","2019","http://link.springer.com/chapter/10.1007/978-3-319-94947-5_59","Chapter"
"A Service-Based Fare Policy for Flex-Route Transit Services","Green Intelligent Transportation Systems","","","","10.1007/978-981-13-0302-9_9","Jin-xing ShenYu-han ZhouYa-nan LiuFeng Qiu","2019","http://link.springer.com/chapter/10.1007/978-981-13-0302-9_9","Chapter"
"A Mobile Service Engine Enabling Complex Data Collection Applications","Service-Oriented Computing","","","","10.1007/978-3-319-46295-0_42","Johannes SchobelRüdiger PryssWolfgang WippMarc SchicklerManfred Reichert","2016","http://link.springer.com/chapter/10.1007/978-3-319-46295-0_42","Chapter"
"Feature extraction using LR-PCA hybridization on twitter data and classification accuracy using machine learning algorithms","Cluster Computing","","","","10.1007/s10586-018-2158-3","N. Senthil MuruganG. Usha Devi","2018","http://link.springer.com/article/10.1007/s10586-018-2158-3","Article"
"Amazon EC2 Container Service","Deploying Rails with Docker, Kubernetes and ECS","","","","10.1007/978-1-4842-2415-1_4","Pablo Acuña","2016","http://link.springer.com/chapter/10.1007/978-1-4842-2415-1_4","Chapter"
"Stakeholder-Driven Enterprise Process Model for Complex Services Adaptation","ENTERprise Information Systems","","","","10.1007/978-3-642-16419-4_9","Jay RamanathanRajiv RamnathJoe BolingerPraveen Nagarajan","2010","http://link.springer.com/chapter/10.1007/978-3-642-16419-4_9","Chapter"
"Socio-economic","Architecture and Design for the Future Internet","","","","10.1007/978-90-481-9346-2_3","Jukka SaloLuis M. Correia","2011","http://link.springer.com/chapter/10.1007/978-90-481-9346-2_3","Chapter"
"Frankenstein: A Platform Enabling Reuse of Question Answering Components","The Semantic Web","","","","10.1007/978-3-319-93417-4_40","Kuldeep SinghAndreas BothArun SethupatSaeedeh Shekarpour","2018","http://link.springer.com/chapter/10.1007/978-3-319-93417-4_40","Chapter"
"Research on Optimized Pre-copy Algorithm of Live Container Migration in Cloud Environment","Parallel Architecture, Algorithm and Programming","","","","10.1007/978-981-10-6442-5_53","Huqing NiePeng LiHe XuLu DongJinquan SongRuchuan Wang","2017","http://link.springer.com/chapter/10.1007/978-981-10-6442-5_53","Chapter"
"An Original Equity Requirement Estimation Model","Bridging the Equity Gap for Innovative SMEs","","","","10.1057/9780230227248_5","Luciana CanoviValeria Venturelli","2008","http://link.springer.com/chapter/10.1057/9780230227248_5","Chapter"
"Ethnographic Study on Practices of the Software Development Industry in Chile","Proceedings of the International Conference on Information Technology & Systems (ICITS 2018)","","","","10.1007/978-3-319-73450-7_66","Dante CarrizoAndrés Alfaro","2018","http://link.springer.com/chapter/10.1007/978-3-319-73450-7_66","Chapter"
"Interoperability in Internet of Things: Taxonomies and Open Challenges","Mobile Networks and Applications","","","","10.1007/s11036-018-1089-9","Mahda NouraMohammed AtiquzzamanMartin Gaedke","2018","http://link.springer.com/article/10.1007/s11036-018-1089-9","Article"
"A Service Composition Method Through Multiple User-Centric Views","Advances in Services Computing","","","","10.1007/978-3-319-49178-3_18","Huayong LuoWeilong DingSheng Gui","2016","http://link.springer.com/chapter/10.1007/978-3-319-49178-3_18","Chapter"
"A Framework for Evaluating the Implementers’ Experience in Making Existing Products Accessible: The Prosperity4all Approach","Human Aspects of IT for the Aged Population. Design for Aging","","","","10.1007/978-3-319-20892-3_38","Katerina TouliouMaria GemouTill RiedelMaria PanouEvangelos Bekiaris","2015","http://link.springer.com/chapter/10.1007/978-3-319-20892-3_38","Chapter"
"A Lightweight Process Engine for Enabling Advanced Mobile Applications","On the Move to Meaningful Internet Systems: OTM 2016 Conferences","","","","10.1007/978-3-319-48472-3_33","Johannes SchobelRüdiger PryssMarc SchicklerManfred Reichert","2016","http://link.springer.com/chapter/10.1007/978-3-319-48472-3_33","Chapter"
"Introducing an Event-Based Architecture for Concurrent and Distributed Evolutionary Algorithms","Parallel Problem Solving from Nature – PPSN XV","","","","10.1007/978-3-319-99253-2_32","Juan J. Merelo GuervósJ. Mario García-Valdez","2018","http://link.springer.com/chapter/10.1007/978-3-319-99253-2_32","Chapter"
"The Internet of Hackable Things","Proceedings of 5th International Conference in Software Engineering for Defence Applications","","","","10.1007/978-3-319-70578-1_13","Nicola DragoniAlberto GiarettaManuel Mazzara","2018","http://link.springer.com/chapter/10.1007/978-3-319-70578-1_13","Chapter"
"Smart Cities System Design Method Based on Case Based Reasoning","Transactions on Computational Collective Intelligence XXV","","","","10.1007/978-3-662-53580-6_4","Cezary OrłowskiArtur ZiółkowskiAleksander OrłowskiPaweł KapłańskiTomasz SitekWitold Pokrzywnicki","2016","http://link.springer.com/chapter/10.1007/978-3-662-53580-6_4","Chapter"
"Connecting Small Form-Factor Devices to the Internet of Things","Advances in Human Factors and System Interactions","","","","10.1007/978-3-319-41956-5_28","Andrea C. Martinez","2017","http://link.springer.com/chapter/10.1007/978-3-319-41956-5_28","Chapter"
"Integrated Service E-Marketplace for Independent and Assisted Living – Business and Software Engineering Challenges","Business Modeling and Software Design","","","","10.1007/978-3-319-57222-2_11","Leszek MaciaszekWieslawa GryncewiczRobert Kutera","2017","http://link.springer.com/chapter/10.1007/978-3-319-57222-2_11","Chapter"
"Recommendation of Mobile Services Employing Semantics and Community Generated Data","Business Information Systems Workshops","","","","10.1007/978-3-642-34228-8_25","Alex OberhauserCorneliu-Valentin StanciuAnna Fensel","2012","http://link.springer.com/chapter/10.1007/978-3-642-34228-8_25","Chapter"
"Reactive 101","Reactive Programming with Node.js","","","","10.1007/978-1-4842-2152-5_1","Fernando Doglio","2016","http://link.springer.com/chapter/10.1007/978-1-4842-2152-5_1","Chapter"
"HTMoL: full-stack solution for remote access, visualization, and analysis of molecular dynamics trajectory data","Journal of Computer-Aided Molecular Design","","32","8","10.1007/s10822-018-0141-y","Mauricio Carrillo-TrippLeonardo Alvarez-RiveraOmar Israel Lara-RamírezFrancisco Javier Becerra-ToledoAdan Vega-RamírezEmmanuel Quijas-ValadesEduardo González-ZavalaJulio Cesar González-VázquezJavier García-VieyraNelly Beatriz Santoyo-RiveraSergio Victor Chapa-VergaraAmilcar Meneses-Viveros","2018","http://link.springer.com/article/10.1007/s10822-018-0141-y","Article"
"Geospatial Visualization of Automotive Sensor Data: A Conceptual and Implementational Framework for Environment and Traffic-Related Applications","Computational Science and Its Applications – ICCSA 2017","","","","10.1007/978-3-319-62401-3_45","Patrick VolandHartmut Asche","2017","http://link.springer.com/chapter/10.1007/978-3-319-62401-3_45","Chapter"
"Microservices Architecture for Content-Based Indexing of Video Shots","Multimedia and Network Information Systems","","","","10.1007/978-3-319-98678-4_45","Remigiusz BaranPavol PartilaRafał Wilk","2019","http://link.springer.com/chapter/10.1007/978-3-319-98678-4_45","Chapter"
"Rails API","Rails 5 Revealed","","","","10.1007/978-1-4842-1709-2_5","Alan Bradburne","2016","http://link.springer.com/chapter/10.1007/978-1-4842-1709-2_5","Chapter"
"The MVC Framework","Java EE 8 Recipes","","","","10.1007/978-1-4842-3594-2_6","Josh Juneau","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3594-2_6","Chapter"
"Automation and Code Control","DevOps, DBAs, and DBaaS","","","","10.1007/978-1-4842-2208-9_8","Michael S. Cuppett","2016","http://link.springer.com/chapter/10.1007/978-1-4842-2208-9_8","Chapter"
"Polyglot Services","Microservices From Day One","","","","10.1007/978-1-4842-1937-9_11","Cloves Carneiro Jr.Tim Schmelmer","2016","http://link.springer.com/chapter/10.1007/978-1-4842-1937-9_11","Chapter"
"The NifTK software platform for image-guided interventions: platform overview and NiftyLink messaging","International Journal of Computer Assisted Radiology and Surgery","","10","3","10.1007/s11548-014-1124-7","Matthew J. ClarksonGergely ZomboriSteve ThompsonJohannes TotzYi SongMiklos EspakStian JohnsenDavid HawkesSébastien Ourselin","2015","http://link.springer.com/article/10.1007/s11548-014-1124-7","Article"
"Service Adaptation with Probabilistic Partial Models","Formal Methods and Software Engineering","","","","10.1007/978-3-319-47846-3_9","Manman ChenTian Huat TanJun SunJingyi WangYang LiuJing SunJin Song Dong","2016","http://link.springer.com/chapter/10.1007/978-3-319-47846-3_9","Chapter"
"Quantum Computing for Test Synthesis","Cyber Physical Computing for IoT-driven Services","","","","10.1007/978-3-319-54825-8_5","Vladimir HahanovTamer Bani AmerIgor IemelianovMykhailo Liubarskyi","2018","http://link.springer.com/chapter/10.1007/978-3-319-54825-8_5","Chapter"
"Towards Security Threats that Matter","Computer Security","","","","10.1007/978-3-319-72817-9_4","Katja TumaRiccardo ScandariatoMathias WidmanChristian Sandberg","2018","http://link.springer.com/chapter/10.1007/978-3-319-72817-9_4","Chapter"
"Big Data Ecosystem: Review on Architectural Evolution","Emerging Technologies in Data Mining and Information Security","","","","10.1007/978-981-13-1498-8_30","Kamakhya Narain SinghRajat Kumar BeheraJibendu Kumar Mantri","2019","http://link.springer.com/chapter/10.1007/978-981-13-1498-8_30","Chapter"
"Web Service Infrastructure Patterns","Encyclopedia of Social Network Analysis and Mining","","","","10.1007/978-1-4614-7163-9_133-1","Peter Tröger","2017","http://link.springer.com/referenceworkentry/10.1007/978-1-4614-7163-9_133-1","ReferenceWorkEntry"
"A New Virtualized Environment for Application Deployment Based on Docker and AWS","Information Science and Applications (ICISA) 2016","","","","10.1007/978-981-10-0557-2_126","Gemoh Maliva TihfonJinsul KimKuinam J. Kim","2016","http://link.springer.com/chapter/10.1007/978-981-10-0557-2_126","Chapter"
"IT Support for Knowledge Processes in Digital Social Collaboration","Knowledge Management in Digital Change","","","","10.1007/978-3-319-73546-7_7","René Peinl","2018","http://link.springer.com/chapter/10.1007/978-3-319-73546-7_7","Chapter"
"Using Docker Swarm with a User-Centric Decision-Making Framework for Cloud Application Migration","Cloud Computing and Service Science","","","","10.1007/978-3-319-94959-8_5","Esha BarlaskarPeter KilpatrickIvor SpenceDimitrios S. Nikolopoulos","2018","http://link.springer.com/chapter/10.1007/978-3-319-94959-8_5","Chapter"
"Modular Programming Concepts","Java 9 Modularity Revealed","","","","10.1007/978-1-4842-2713-8_1","Alexandru Jecan","2017","http://link.springer.com/chapter/10.1007/978-1-4842-2713-8_1","Chapter"
"A Curation-Oriented Thematic Aggregator","Research and Advanced Technology for Digital Libraries","","","","10.1007/978-3-642-40501-3_13","Dimitris GavrilisCostis DallasStavros Angelis","2013","http://link.springer.com/chapter/10.1007/978-3-642-40501-3_13","Chapter"
"Towards interactive tourism: capitalising on virtual and physical value chains","Information and Communication Technologies in Tourism 1999","","","","10.1007/978-3-7091-6373-3_2","Frank M. GoRobert GoversMark van den Heuvel","1999","http://link.springer.com/chapter/10.1007/978-3-7091-6373-3_2","Chapter"
"3D Volume Visualization of Environmental Data in the Web","Environmental Software Systems. Computer Science for Environmental Protection","","","","10.1007/978-3-319-89935-0_38","Eric BraunClemens DüpmeierStefan MirbachUlrich Lang","2017","http://link.springer.com/chapter/10.1007/978-3-319-89935-0_38","Chapter"
"Guiding Cloud Developers to Build Energy Aware Applications","Software Technologies","","","","10.1007/978-3-319-30142-6_22","Christophe PonsardJean-Christophe DeprezRaphael Michel","2016","http://link.springer.com/chapter/10.1007/978-3-319-30142-6_22","Chapter"
"A Microservices-Based Social Data Analytics Platform Over DC/OS","Advances in Network-Based Information Systems","","","","10.1007/978-3-319-98530-5_58","Ming-Chih HsuChi-Yi Lin","2019","http://link.springer.com/chapter/10.1007/978-3-319-98530-5_58","Chapter"
"The Distinct Trends and Transitions in the Information Technology (IT) Space","Software-Defined Cloud Centers","","","","10.1007/978-3-319-78637-7_1","Pethuru RajAnupama Raman","2018","http://link.springer.com/chapter/10.1007/978-3-319-78637-7_1","Chapter"
"Challanges in Services Research: A Software Architecture Perspective","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-72125-5_18","Flavio De Paoli","2018","http://link.springer.com/chapter/10.1007/978-3-319-72125-5_18","Chapter"
"The Benefits of Using Experimental Exploration for Cloud Migration Analysis and Planning","Cloud Computing and Service Science","","","","10.1007/978-3-319-94959-8_9","Frank FowleyDivyaa Manimaran ElangoHany MagarClaus Pahl","2018","http://link.springer.com/chapter/10.1007/978-3-319-94959-8_9","Chapter"
"CollaTrEx – Collaborative Context-Aware Mobile Training and Exploration","Interactivity, Game Creation, Design, Learning, and Innovation","","","","10.1007/978-3-319-55834-9_13","Jean BotevRalph MarschallSteffen Rothkugel","2017","http://link.springer.com/chapter/10.1007/978-3-319-55834-9_13","Chapter"
"Towards a Framework for Building SaaS Applications Operating in Diverse and Dynamic Environments","Software Architecture","","","","10.1007/978-3-319-48992-6_22","Ashish AgrawalT. V. Prabhakar","2016","http://link.springer.com/chapter/10.1007/978-3-319-48992-6_22","Chapter"
"A data infrastructure reference model with applications: towards realization of a ScienceTube vision with a data replication service","Journal of Internet Services and Applications","","4","1","10.1186/1869-0238-4-1","Morris RiedelPeter WittenburgJohannes ReetzMark van de SandenJedrzej RybickiBenedikt von St ViethGiuseppe FiameniGiacomo MarianiAlberto MicheliniClaudio CacciariWillem ElbersDaan BroederRobert VerkerkElena ErastovaMichael LautenschlaegerReinhard Budig","2013","http://link.springer.com/article/10.1186/1869-0238-4-1","Article"
"Deploying into Production","REST API Development with Node.js","","","","10.1007/978-1-4842-3715-1_9","Fernando Doglio","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3715-1_9","Chapter"
"Occopus: a Multi-Cloud Orchestrator to Deploy and Manage Complex Scientific Infrastructures","Journal of Grid Computing","","16","1","10.1007/s10723-017-9421-3","József KovácsPéter Kacsuk","2018","http://link.springer.com/article/10.1007/s10723-017-9421-3","Article"
"Optimized Container-Based Process Execution in the Cloud","On the Move to Meaningful Internet Systems. OTM 2018 Conferences","","","","10.1007/978-3-030-02671-4_1","Philipp WaibelAnton YeshchenkoStefan SchulteJan Mendling","2018","http://link.springer.com/chapter/10.1007/978-3-030-02671-4_1","Chapter"
"NAPR: a Cloud-Based Framework for Neuroanatomical Age Prediction","Neuroinformatics","","16","1","10.1007/s12021-017-9346-9","Heath R. PardoeRuben Kuzniecky","2018","http://link.springer.com/article/10.1007/s12021-017-9346-9","Article"
"MITK-US: real-time ultrasound support within MITK","International Journal of Computer Assisted Radiology and Surgery","","9","3","10.1007/s11548-013-0962-z","K. MärzA. M. FranzA. SeitelA. WintersteinR. BendlS. ZelzerM. NoldenH. -P. MeinzerL. Maier-Hein","2014","http://link.springer.com/article/10.1007/s11548-013-0962-z","Article"
"IoT System Architectures","Internet-of-Things (IoT) Systems","","","","10.1007/978-3-319-69715-4_2","Dimitrios SerpanosMarilyn Wolf","2018","http://link.springer.com/chapter/10.1007/978-3-319-69715-4_2","Chapter"
"What Industry 4.0 Means for Just-In-Sequence Supply in Automotive Industry?","Vehicle and Automotive Engineering 2","","","","10.1007/978-3-319-75677-6_19","János JuhászTamás Bányai","2018","http://link.springer.com/chapter/10.1007/978-3-319-75677-6_19","Chapter"
"Device Management Using IoT Hub","Business in Real-Time Using Azure IoT and Cortana Intelligence Suite","","","","10.1007/978-1-4842-2650-6_3","Bob FamiliarJeff Barnes","2017","http://link.springer.com/chapter/10.1007/978-1-4842-2650-6_3","Chapter"
"Corporate Culture and Organisation","The Digital Transformation of the Automotive Industry","","","","10.1007/978-3-319-71610-7_7","Uwe Winkelhake","2018","http://link.springer.com/chapter/10.1007/978-3-319-71610-7_7","Chapter"
"Robots in Home Automation and Assistive Environments","RADIO--Robots in Assisted Living","","","","10.1007/978-3-319-92330-7_11","Rafael López TarazónRomán Navarro GarcíaSofia AivaliotiRaquel VenturaVagelis Mariatos","2019","http://link.springer.com/chapter/10.1007/978-3-319-92330-7_11","Chapter"
"Managing Lifecycle of Big Data Applications","Knowledge Engineering and Semantic Web","","","","10.1007/978-3-319-69548-8_18","Ivan ErmilovAxel-Cyrille Ngonga NgomoAad VerstedenHajira JabeenGezim SejdiuGiorgos ArgyriouLuigi SelmiJürgen JakobitschJens Lehmann","2017","http://link.springer.com/chapter/10.1007/978-3-319-69548-8_18","Chapter"
"Introduction","Expert F# 4.0","","","","10.1007/978-1-4842-0740-6_1","Don SymeAdam GraniczAntonio Cisternino","2015","http://link.springer.com/chapter/10.1007/978-1-4842-0740-6_1","Chapter"
"On Edge Cloud Architecture and Joint Physical Virtual Resource Orchestration for SDN/NFV","Artificial Intelligence Applications and Innovations","","","","10.1007/978-3-319-92016-0_3","Shah Nawaz KhanRoberto Riggio","2018","http://link.springer.com/chapter/10.1007/978-3-319-92016-0_3","Chapter"
"Application of Docker Container in Intelligent Traffic Cloud","Green Intelligent Transportation Systems","","","","10.1007/978-981-13-0302-9_62","Hong ZhaoZe-yu Han","2019","http://link.springer.com/chapter/10.1007/978-981-13-0302-9_62","Chapter"
"Edge Computing in the Extreme for Sustainability","Communication Systems and Networks","","","","10.1007/978-3-319-67235-9_8","Suman BanerjeeNeil KlingensmithPeng LiuAnantharaghavan Sridhar","2017","http://link.springer.com/chapter/10.1007/978-3-319-67235-9_8","Chapter"
"Metrics-Based Auto Scaling Module for Amazon Web Services Cloud Platform","Beyond Databases, Architectures and Structures. Towards Efficient Solutions for Data Analysis and Knowledge Representation","","","","10.1007/978-3-319-58274-0_4","Dariusz Rafal AugustynLukasz Warchal","2017","http://link.springer.com/chapter/10.1007/978-3-319-58274-0_4","Chapter"
