Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,
Designing a Smart City Internet of Things Platform with Microservice Architecture,A. Krylovskiy; M. Jahn; E. Patti,NA; NA; NA,2015 3rd International Conference on Future Internet of Things and Cloud,,2015,,,25,30,,,,10.1109/FiCloud.2015.55,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7300793,,Smart cities;Computer architecture;Data models;Standards;Architecture;Interoperability,Internet of Things;service-oriented architecture;smart cities,smart city Internet of Things platform design;smart city IoT platforms;large-scale distributed applications;Web platforms;microservice architecture;architectural style;generic service-oriented architecture approach;SOA approach,,,,,,,,,IEEE,IEEE Conferences,
CAOPLE: A Programming Language for Microservices SaaS,C. Xu; H. Zhu; I. Bayley; D. Lightfoot; M. Green; P. Marshall,NA; NA; NA; NA; NA; NA,2016 IEEE Symposium on Service-Oriented System Engineering (SOSE),,2016,,,34,43,,,,10.1109/SOSE.2016.46,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7473007,Service-oriented software;Microservices architecture;Virtual machine;Programming languages;Cloud computing;Parallel programming model;Agent orientation,Containers;Computer languages;Computer architecture;Virtual machining;Servers;Software as a service;Runtime,cloud computing;programming languages;resource allocation;service-oriented architecture;virtual machines,CAOPLE;programming language;microservices architecture;software as a service;SaaS;service-oriented system;system load balancing;virtual machine;CAVM-2,,,,,,,,,IEEE,IEEE Conferences,
Optimising microservice-based reliable NFV management & orchestration architectures,T. Soenen; W. Tavernier; D. Colle; M. Pickavet,Ghent University - imec; Ghent University - imec; Ghent University - imec; Ghent University - imec,2017 9th International Workshop on Resilient Networks Design and Modeling (RNDM),,2017,,,1,7,,,,10.1109/RNDM.2017.8093034,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8093034,,Telecommunication network reliability;Computer architecture;Monitoring;Hardware,computer network management;computer network reliability;optimisation;virtualisation,centralised distributed microservice;cost function;optimising microservice;telecom operators;NFV-powered telecom services;elastic emergency;NFV MANO functionality;reliable NFV management and orchestration architectures;distributed load balancing;network function virltualization,,,,,,,,,IEEE,IEEE Conferences,
Telecom strategies for service discovery in microservice environments,C. Rotter; J. Illés; G. Nyíri; L. Farkas; G. Csatári; G. Huszty,Nokia Bell Labs - Research; Nokia Bell Labs - Research; Nokia Bell Labs - Research; Nokia Bell Labs - Research; Nokia CTO - Open Source Initiatives; Nokia Networks; Mobile Networks,2017 20th Conference on Innovations in Clouds; Internet and Networks (ICIN),,2017,,,214,218,,,,10.1109/ICIN.2017.7899414,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7899414,,Servers;Monitoring;IP networks;Computer architecture;Service-oriented architecture;Electronic mail,telecommunication industry;telecommunication services,telecom strategy;service discovery;microservice architecture;MSA;SOA;open source frameworks,,,,,,,,,IEEE,IEEE Conferences,
Comparing Container-Based Microservices and Workspace as a Service: Which One to Choose?,J. Ma; B. An; D. Cao; X. Chen,NA; NA; NA; NA,2018 IEEE Symposium on Service-Oriented System Engineering (SOSE),,2018,,,240,245,,,,10.1109/SOSE.2018.00040,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8359173,cloud computing;container-based virtualization;microservices;Workspace as a Service,Containers;Cloud computing;Google;Browsers;Servers;Virtual machining,cloud computing;Web services,WaaS;container-based microservices;container technology;mainstream public cloud vendors;Amazon Web Services;Google Cloud Platform;workspace-as-a-service,,,,,,,,,IEEE,IEEE Conferences,
Architecture of an interoperable IoT platform based on microservices,T. Vresk; I. Čavrak,Končar elektronika i informatika; Zagreb; Croatia; University of Zagreb; Faculty of Electrical Engineering and Computing; Zagreb; Croatia,2016 39th International Convention on Information and Communication Technology; Electronics and Microelectronics (MIPRO),,2016,,,1196,1201,,,,10.1109/MIPRO.2016.7522321,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7522321,,Internet of things;Data models;Protocols;Interoperability;Computer architecture;Standardization;Scalability,data handling;ecology;Internet of Things;middleware;open systems,interoperable IoT platform;microservices;Internet of Things;ecosystems;data processing;middleware functionality,,,,,,,,,IEEE,IEEE Conferences,
Microservices in Practice; Part 1: Reality Check and Service Design,C. Pautasso; O. Zimmermann; M. Amundsen; J. Lewis; N. Josuttis,University of Lugano; University of Applied Sciences of Eastern Switzerland; Rapperswil; API Academy; ThoughtWorks; NA,IEEE Software,,2017,34,1,91,98,,,,10.1109/MS.2017.24,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7819415,microservices;service-oriented architecture;SOA;domain-driven design;DDD;Conway's law;Extreme Programming;XP;Mike Amundsen;James Lewis;Nicolai Josuttis;software engineering;software development,Service-oriented architecture;Software engineering;Semiconductor optical amplifiers;Computer architecture;Context modeling;Writing;Software development,service-oriented architecture,software architecture;software development;service-oriented architecture;microservices;service design;SOA,,,,,,,,,IEEE,IEEE Journals & Magazines,
Performance Evaluation of Microservices Architectures Using Containers,M. Amaral; J. Polo; D. Carrera; I. Mohomed; M. Unuvar; M. Steinder,NA; NA; NA; NA; NA; NA,2015 IEEE 14th International Symposium on Network Computing and Applications,,2015,,,27,34,,,,10.1109/NCA.2015.49,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7371699,Containers;Networking;Performance Evaluation;Microservices,Containers;Linux;Servers;Computer architecture;Virtual machining;Virtualization;Master-slave,microprocessor chips;performance evaluation;software architecture,system designer;benchmark analysis guidance;network running benchmark;CPU;nested-container;master-slave;monolithic architecture;overall scalability;application development;microservices architecture;performance evaluation,,,,,,,,,IEEE,IEEE Conferences,
A microservice-based architecture approach for the automation of modular process plants,H. Bloch; A. Fay; T. Knohl; M. Hoernicke; J. Bernshausen; S. Hensel; A. Hahn; L. Urbas,Institute of Automation Technology; Helmut Schmidt University; Hamburg; Germany; Institute of Automation Technology; Helmut Schmidt University; Hamburg; Germany; Bayer AG; Leverkusen; Germany; ABB Corporate Research Operations Management; Ladenburg; Germany; INVITE GmbH; Leverkusen; Germany; Chair of Process Control Systems; Process Systems Engineering Group; Technische Universit&#x00E4;t Dresden Dresden; Germany; Chair of Process Control Systems; Process Systems Engineering Group; Technische Universit&#x00E4;t Dresden Dresden; Germany; Chair of Process Control Systems; Process Systems Engineering Group; Technische Universit&#x00E4;t Dresden Dresden; Germany,2017 22nd IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),,2017,,,1,8,,,,10.1109/ETFA.2017.8247573,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8247573,Microservices;Modular Process Plants;Service-Oriented Architecture;Service-Based Architecture,Automation;Process control;Service-oriented architecture;Industries;Control systems;Business;Production,process control;production engineering computing;service-oriented architecture;software architecture,process control systems;modular process plants automation;microservice-based architecture approach;mechanical modularization;service-oriented architectures,,,,,,,,,IEEE,IEEE Conferences,
Security and privacy for cloud-based data management in the health network service chain: a microservice approach,C. Esposito; A. Castiglione; C. Tudorica; F. Pop,NA; NA; NA; NA,IEEE Communications Magazine,,2017,55,9,102,108,,,,10.1109/MCOM.2017.1700089,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8030494,,Medical services;Computer security;Cloud computing;Data privacy;Medical services;Electronic medical records,cloud computing;data privacy;health care,health data;cloud-based solutions;privacy requirements;security requirements;cloud computing;healthcare systems,,,,,,,,,IEEE,IEEE Journals & Magazines,
Microservices and Their Design Trade-Offs: A Self-Adaptive Roadmap,S. Hassan; R. Bahsoon,NA; NA,2016 IEEE International Conference on Services Computing (SCC),,2016,,,813,818,,,,10.1109/SCC.2016.113,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7557535,microservices;trade-offs;non-functional requirements;granularity;self-adaptativity;decision-making,Motion pictures;Computer architecture;Business;Context;Software;Quality of service;Browsers,formal specification;software architecture,software architectures;microservice architecture granularity;nonfunctional requirement satisfaction levels;self-adaptivity;online movie streaming system;feedback control loop;microservitization,,,,,,,,,IEEE,IEEE Conferences,
Efficiency Analysis of Provisioning Microservices,H. Khazaei; C. Barna; N. Beigi-Mohammadi; M. Litoiu,NA; NA; NA; NA,2016 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),,2016,,,261,268,,,,10.1109/CloudCom.2016.0051,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830692,cloud computing;performance analysis;container;microservice;Platform-as-a-Service;Infrastructure-as-a-Service;virtualization;Markov chain;stochastic process,Containers;Cloud computing;Analytical models;Virtualization;Runtime;Computational modeling;Time factors,cloud computing;program testing;software performance evaluation;Web services,microservice provisioning;efficiency analysis;microservice architecture;microservice platforms;software engineering cycle;cloud applications;performance analytical model;large scale microservices;capacity planning;what-if analysis;tractable analytical performance model;Docker technology family;Amazon EC2 cloud;microservice platforms,,,,,,,,,IEEE,IEEE Conferences,
Microservices Architecture Enables DevOps: Migration to a Cloud-Native Architecture,A. Balalaie; A. Heydarnoori; P. Jamshidi,Sharif University of Technology; Sharif University of Technology; Imperial College London,IEEE Software,,2016,33,3,42,52,,,,10.1109/MS.2016.64,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7436659,DevOps;microservices;cloud computing;migration pattern;architectural refactoring;software engineering;software development;mobile back end as a service,Computer architecture;Servers;Cloud computing;Microservices;Scalability;Mobile communication;Software architecture;Refractoring,cloud computing;software architecture;software maintenance,microservices architecture;DevOps;incremental migration;architectural refactoring;cloud-native architecture,,,,,,,,,IEEE,IEEE Journals & Magazines,
IoT and Microservices Based Testbed for Connected Car Services,S. Kanti Datta; M. Irfan Khan; L. Codeca; B. Denis; J. Härri; C. Bonnet,EURECOM; 450 route des Chappes; Sophia Antipolis; 06904; France; EURECOM; 450 route des Chappes; Sophia Antipolis; 06904; France; EURECOM; 450 route des Chappes; Sophia Antipolis; 06904; France; CEA-Leti; MINATEC Campus; 17 avenue des Martyrs; Cedex 9; Grenoble; F38054; France; EURECOM; 450 route des Chappes; Sophia Antipolis; 06904; France; EURECOM; 450 route des Chappes; Sophia Antipolis; 06904; France,2018 IEEE 19th International Symposium on A World of Wireless," Mobile and Multimedia Networks"" (WoWMoM)""",,2018,,,14,19,,,,10.1109/WoWMoM.2018.8449768,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449768,Connected Cars;Internet of Things;Microservices;Testbed;Web of Things,Automobiles;Cloud computing;Servers;Sensors;Computer architecture;Metadata,cloud computing;intelligent transportation systems;Internet of Things;vehicular ad hoc networks,vehicular data annotation;vehicular resources;Cloud based framework;vehicular devices;microservices philosophy;connected car domain;Intelligent Transportation Systems;IoT platform;vehicular communication technologies,,,,,,,,,IEEE,IEEE Conferences
Highly-Available Applications on Unreliable Infrastructure: Microservice Architectures in Practice,D. Richter; M. Konrad; K. Utecht; A. Polze,NA; NA; NA; NA,2017 IEEE International Conference on Software Quality; Reliability and Security Companion (QRS-C),,2017,,,130,137,,,,10.1109/QRS-C.2017.28,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8004304,,Computer architecture;Hardware;Databases;Fault tolerance;Fault tolerant systems;Rail transportation;Testing,software architecture;software fault tolerance,microservice architectures;software system;self-contained services;implementation-independent interfaces;self-contained environments;physical systems;horizontal scaling;redundant service instances;load-balancing;asynchronous message queues;fault tolerance;Deutsche Bahn AG;German railway company;interurban rail services;EPA system;technological dependencies;general properties;legacy system;equivalent microservice-based system;migration process,,,,,,,,,IEEE,IEEE Conferences,
Exploring the Impact of Situational Context — A Case Study of a Software Development Process for a Microservices Architecture,R. O’Connor; P. Elger; P. M. Clarke,NA; NA; NA,2016 IEEE/ACM International Conference on Software and System Processes (ICSSP),,2016,,,6,10,,,,10.1109/ICSSP.2016.009,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7831529,Software Development Process;Software Development Context;Agile; Lean;Process Selection,Software;Context;Personnel;Companies;Containers;Computer architecture,decision making;software architecture,situational context;software development process;microservice architecture;reference framework;software process decision making;software process definition,,,,,,,,,IEEE,IEEE Conferences,
Container and Microservice Driven Design for Cloud Infrastructure DevOps,H. Kang; M. Le; S. Tao,NA; NA; NA,2016 IEEE International Conference on Cloud Engineering (IC2E),,2016,,,202,211,,,,10.1109/IC2E.2016.26,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7484185,Cloud computing;OpenStack;container;DevOps,Containers;Computer architecture;Cloud computing;Databases;Runtime;Production,cloud computing,microservice driven design;cloud infrastructure DevOps;Docker container technologies;OpenStack deployment architecture;dynamic service registration;dynamic service discovery;container-based microservice-style DevOps;stateless containerized components;stateful containerized components;cloud infrastructure management,,,,,,,,,IEEE,IEEE Conferences,
A Holistic Evaluation of Docker Containers for Interfering Microservices,D. N. Jha; S. Garg; P. P. Jayaraman; R. Buyya; Z. Li; R. Ranjan,NA; NA; NA; NA; NA; NA,2018 IEEE International Conference on Services Computing (SCC),,2018,,,33,40,,,,10.1109/SCC.2018.00012,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8456398,Microservice;Container;Docker;Interference;Cloud Service Evaluation,Containers;Interference;Virtualization;Benchmark testing;Cloud computing;Virtual machine monitors;Performance evaluation,cloud computing;concurrency control;software performance evaluation;virtualisation,Docker containers;container technology;bare-metal performance;performance evaluation;Cloud Evaluation Experiment Methodology;inter-container;concurrent executing containers;microservices interference;container management tool;intra-container;virtualization concept,,,,,,,,,IEEE,IEEE Conferences,
Extraction of Microservices from Monolithic Software Architectures,G. Mazlami; J. Cito; P. Leitner,NA; NA; NA,2017 IEEE International Conference on Web Services (ICWS),,2017,,,524,531,,,,10.1109/ICWS.2017.61,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029803,microservices;extraction;coupling;graph-based clustering,Couplings;Clustering algorithms;Computer architecture;Cloud computing;Industries;Tools,cloud computing;mobile computing;service-oriented architecture;Web services,monolithic software architectures;mobile computing;cloud computing infrastructure;DevOps;elastic computing;microservice architectural style;monolithic legacy applications;microservice-oriented architectures;monolithic code bases;informal migration patterns;formal models;microservice extraction model;algorithmic recommendation;microservice candidates;Web-based prototype;performance evaluation;microservice-specific metrics;domain-specific redundancy,,,,,,,,,IEEE,IEEE Conferences,
Evaluating the monolithic and the microservice architecture pattern to deploy web applications in the cloud,M. Villamizar; O. Garcés; H. Castro; M. Verano; L. Salamanca; R. Casallas; S. Gil,Systems and Computing Engineering Department; Universidad de los Andes; Bogotá; Colombia; Systems and Computing Engineering Department; Universidad de los Andes; Bogotá; Colombia; Systems and Computing Engineering Department; Universidad de los Andes; Bogotá; Colombia; Systems and Computing Engineering Department; Universidad de los Andes; Bogotá; Colombia; Systems and Computing Engineering Department; Universidad de los Andes; Bogotá; Colombia; Systems and Computing Engineering Department; Universidad de los Andes; Bogotá; Colombia; Project Management Department; Mapeo; Bogotá D.C.; Colombia,2015 10th Computing Colombian Conference (10CCC),,2015,,,583,590,,,,10.1109/ColumbianCC.2015.7333476,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7333476,cloud computing;microservices;service oriented architectures;SOA;scalable applications;infrastructure as a services;platform as a service;PaaS;IaaS;continuous delivery;software engineering;software architecture;microservice architecture,Companies;Computer architecture;Cloud computing;Service-oriented architecture;Complexity theory,cloud computing;software architecture,monolithic architecture pattern;microservice architecture pattern;Web applications;cloud computing;enterprise applications;Internet companies;Play Web framework,,,,,,,,,IEEE,IEEE Conferences,
Synthetic Runtime Monitoring of Microservices Software Architecture,C. Phipathananunth; P. Bunyakiati,NA; NA,2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC),,2018,2,,448,453,,,,10.1109/COMPSAC.2018.10274,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377902,microservices;monitoring;software test automation,Monitoring;Unified modeling language;Runtime;Tools;Testing;Software;Servers,formal specification;object-oriented programming;software architecture;Unified Modeling Language,Pink;object diagrams;OCL specifications;synthetic runtime monitoring;microservices software architecture;microservices software systems;UML component diagram;UML sequence diagrams;monitoring scripts,,,,,,,,,IEEE,IEEE Conferences,
Smart city service system engineering based on microservices architecture: Case study: Government of tangerang city,T. Hidayat; Suhardi; N. B. Kurniawan,School of Electrical Engineering and Informatics; Institut Teknologi Bandung; Bandung; Indonesia; School of Electrical Engineering and Informatics; Institut Teknologi Bandung; Bandung; Indonesia; School of Electrical Engineering and Informatics; Institut Teknologi Bandung; Bandung; Indonesia,2017 International Conference on ICT For Smart Society (ICISS),,2017,,,1,7,,,,10.1109/ICTSS.2017.8288864,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8288864,smart city;service system engineering;service oriented architecture;microservices,Smart cities;Technological innovation;Systems engineering and theory;Government;Service-oriented architecture,cloud computing;customer services;mobile computing;smart cities;software architecture;town and country planning,smart city service system engineering;microservices architecture;Tangerang City;valuable services;good service system;service system engineering methodology;service system design,,,,,,,,,IEEE,IEEE Conferences,
Cloud-Based Microservices to Decision Support,A. S. Kondratyev; K. A. Aksyonov; N. A. Buravova; O. P. Aksyonova,Ural Federal University n. a. the first President of Russia B.N. Yeltsin; Yekaterinburg; 620002; Russia; Ural Federal University n. a. the first President of Russia B.N. Yeltsin; Yekaterinburg; 620002; Russia; Ural Federal University n. a. the first President of Russia B.N. Yeltsin; Yekaterinburg; 620002; Russia; Ural Federal University n. a. the first President of Russia B.N. Yeltsin; Yekaterinburg; 620002; Russia,2018 Tenth International Conference on Ubiquitous and Future Networks (ICUFN),,2018,,,389,394,,,,10.1109/ICUFN.2018.8437015,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8437015,simulation modeling;intellectual systems;artificial intelligence,Intelligent systems;Slabs;Task analysis,cloud computing;decision support systems,desktop software;progressive technologies;crossplatforming solution;imitation modeling;cloud-based microservices;Decision Support;cloud based decision support system;BPsim,,,,,,,,,IEEE,IEEE Conferences,
Development of an event-oriented; cloud-based SCADA system using a microservice architecture under the RAMI4.0 specification: Lessons learned,T. Porrmann; R. Essmann; A. W. Colombo,Institute I2AR; Hochschule Emden/Leer; Constantiaplatz 4; D-26723 Emden; Germany; Honeywell; ACS Environmental & Energy Solutions; Strotheweg 1; 49504 Lotte (Büren); Germany; Institute I2AR; Hochschule Emden/Leer; Constantiaplatz 4; D-26723 Emden; Germany,IECON 2017 - 43rd Annual Conference of the IEEE Industrial Electronics Society,,2017,,,3441,3448,,,,10.1109/IECON.2017.8216583,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8216583,SCADA;Service Fabric;Microsoft Azure;Microservice-Architecture;RAMI4.0 DIN Specification;Product-driven Production,SCADA systems;Reliability;Computer architecture;Fabrics;Process control;Production;Software,cloud computing;formal specification;production engineering computing;SCADA systems;service-oriented architecture,microservice architecture;product-driven production systems;event-oriented SCADA system;cloud-based SCADA system;RAMI4.0 specification,,,,,,,,,IEEE,IEEE Conferences,
Overcoming Security Challenges in Microservice Architectures,T. Yarygina; A. H. Bagge,NA; NA,2018 IEEE Symposium on Service-Oriented System Engineering (SOSE),,2018,,,11,20,,,,10.1109/SOSE.2018.00011,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8359144,Microservices;defense in depth;SOA;distributed systems;cloud;PKI;authentication;MTLS;REST;JWT,Security;Service-oriented architecture;Computer architecture;Cloud computing;Hardware;Industries,cloud computing;message authentication;security of data;service-oriented architecture;software engineering,security challenges;microservice architecture;microservice architectural style;highly scalable systems;flexible systems;microservice system;microservice security;microservices security;security implications;Netflix security decisions;layered security solution;security guidelines;security mechanisms;software engineering;Docker Swarm,,,,,,,,,IEEE,IEEE Conferences,
Microservices: Architecting for Continuous Delivery and DevOps,L. Chen,NA,2018 IEEE International Conference on Software Architecture (ICSA),,2018,,,39,397,,,,10.1109/ICSA.2018.00013,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8417115,Continuous Delivery;Continuous Deployment;DevOps;Architecture;Microservices;Agile;SOA,Companies;Software;Tools;Pipelines;Databases;Computer architecture;Software architecture,contracts;service-oriented architecture;software prototyping,Microservices;architecting;Continuous Delivery;businesses today;customer needs;unprecedented speeds;DevOps movement;CD;Paddy Power;gaming company;software architecture;architectural challenges;emerging architectural style;modifiability;design erosion,,,,,,,,,IEEE,IEEE Conferences,
A microservices architecture for collaborative document editing enhanced with face recognition,C. Gadea; M. Trifan; D. Ionescu; M. Cordea; B. Ionescu,School of Electrical Engineering and Computer Science; University of Ottawa; Ontario; Canada; School of Electrical Engineering and Computer Science; University of Ottawa; Ontario; Canada; School of Electrical Engineering and Computer Science; University of Ottawa; Ontario; Canada; Mgestyk Technologies Inc.; Ottawa; Ontario; Canada; Mgestyk Technologies Inc.; Ottawa; Ontario; Canada,2016 IEEE 11th International Symposium on Applied Computational Intelligence and Informatics (SACI),,2016,,,441,446,,,,10.1109/SACI.2016.7507409,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7507409,collaborative editing;real-time web;microservices;docker;groupware;face detection;face recognition,Collaboration;Databases;Face recognition;Real-time systems;Computer architecture;Face;Google,document image processing;face recognition;Internet;software architecture;text analysis,microservices architecture;collaborative document editing;face recognition;Web applications;user experience;rich-text document editing;operational transformation;chat functionality;Docker;document creation process,,,,,,,,,IEEE,IEEE Conferences,
I want to ride my bicycle: A microservice-based use case for a MaaS architecture,F. Callegati; G. Delnevo; A. Melis; S. Mirri; M. Prandini; P. Salomoni,Department of Electrical and Information Engineering; Università di Bologna; Italy; Department of Computer Science and Engineering; Università di Bologna; Italy; Department of Electrical and Information Engineering; Università di Bologna; Italy; Department of Computer Science and Engineering; Università di Bologna; Italy; Department of Computer Science and Engineering; Università di Bologna; Italy; Department of Computer Science and Engineering; Università di Bologna; Italy,2017 IEEE Symposium on Computers and Communications (ISCC),,2017,,,18,22,,,,10.1109/ISCC.2017.8024498,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8024498,smart city;open data;crowdsourcing;crowdsensing;smart mobility;SOA;MaaS;orchestration,Sensors;Smart cities;Computer architecture;Crowdsourcing;Planning;Software,cloud computing;interactive systems;mobile computing;service-oriented architecture;user interfaces,microservice-based use case;MaaS architecture;multimodal urban paths;smart mobility context;crowdsourcing;monolithic prototype;service-oriented architecture;data sources;user interface;interaction mechanisms,,,,,,,,,IEEE,IEEE Conferences,
An application of microservices architecture pattern to create a modular computer numerical control system,M. Y. Afanasev; Y. V. Fedosov; A. A. Krylova; S. A. Shorokhov,ITMO University; St. Petersburg; Russian Federation; ITMO University; St. Petersburg; Russian Federation; ITMO University; St. Petersburg; Russian Federation; ITMO University; St. Petersburg; Russian Federation,2017 20th Conference of Open Innovations Association (FRUCT),,2017,,,10,19,,,,10.23919/FRUCT.2017.8071286,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8071286,,Computer architecture;Protocols;Software;Magnetic heads;Computer numerical control;Production systems;Control systems,computerised numerical control;control engineering computing;fault tolerance;production engineering computing;production equipment;software architecture,microservices architecture pattern;monolithic architecture;Cyber-Physical Production Systems;modular industrial equipment;microservices architecture features;heterogeneous computer network;data access speed;common setup structure;data accessibility;modular computer numerical control system design;CNC;CPPS;message queue;fault tolerance;NoSQL database;distributed network latency simulation,,,,,,,,,IEEE,IEEE Conferences,
Modelling and Managing Deployment Costs of Microservice-Based Cloud Applications,P. Leitner; J. Cito; E. Stöckli,NA; NA; NA,2016 IEEE/ACM 9th International Conference on Utility and Cloud Computing (UCC),,2016,,,165,174,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7881628,cloud computing;microservices;deployment costs;what-if analysis;graph model,Cloud computing;Computational modeling;Analytical models;Numerical models;Real-time systems;Computer architecture;Visualization,cloud computing;graph theory;programming environments;programming languages,deployment cost modelling;deployment cost management;microservice-based cloud application;CostHat model;cloud programming;integrated development environment;IDE;Python implementation;graph-based cost model,,,,,,,,,IEEE,IEEE Conferences,
Supporting Microservice Evolution,A. R. Sampaio; H. Kadiyala; B. Hu; J. Steinbacher; T. Erwin; N. Rosa; I. Beschastnikh; J. Rubin,NA; NA; NA; NA; NA; NA; NA; NA,2017 IEEE International Conference on Software Maintenance and Evolution (ICSME),,2017,,,539,543,,,,10.1109/ICSME.2017.63,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094458,microservices;model;evolution,Containers;Databases;Cloud computing;Monitoring;Topology;Data mining,management of change;software architecture;Web services,agile evolution;rapid evolution;continuous re-deployment;low-level service behaviors;service evolution modeling;static information;dynamic information;service upgrades;architectural evolution;microservice evolution;microservices;scale-out application logic;Netflix;IBM;Google,,,,,,,,,IEEE,IEEE Conferences,
Architecting Microservices,P. D. Francesco,NA,2017 IEEE International Conference on Software Architecture Workshops (ICSAW),,2017,,,224,229,,,,10.1109/ICSAW.2017.65,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7958492,Microservices;Software Architecture;Systematic Mapping Study;Architectural Language,Computer architecture;Unified modeling language;Analytical models;Tools;Service-oriented architecture,cloud computing;service-oriented architecture,service oriented architecture;cloud computing;Web 2.0;microservice architecture;cloud infrastructures;MSA principles;description language;systematic mapping study;architecture recovery;MicroART,,,,,,,,,IEEE,IEEE Conferences,
Leveraging microservices architecture by using Docker technology,D. Jaramillo; D. V. Nguyen; R. Smart,Cloud Engineering and Services; IBM; Boca Raton; FL; USA; Cloud Engineering and Services; IBM; Boca Raton; FL; USA; Emerging Technologies; IBM; Hursley; United Kingdom,SoutheastCon 2016,,2016,,,1,5,,,,10.1109/SECON.2016.7506647,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7506647,micoservices;docker;devops;automation,Containers;Computer architecture;Automation;Buildings;Architecture;Business;Acceleration,client-server systems;productivity;software architecture;time to market,microservice architecture;Docker technology;time to market;productivity effect;software product life circle;architectural style;disruptive technology;automation maximization,,,,,,,,,IEEE,IEEE Conferences,
Perspectives for Selecting Cloud Microservices,M. França; C. Werner,NA; NA,2018 IEEE International Conference on Software Architecture Companion (ICSA-C),,2018,,,56,59,,,,10.1109/ICSA-C.2018.00023,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8432178,Software Architecture;Software Acquisition;Cloud Computing;Microservice;Cognitive Computing,Quality of service;Cloud computing;Artificial intelligence;Service-oriented architecture;Metadata;Standards,cloud computing;software reusability,software reuse;software acquisition;cloud microservice selection framework;cloud platforms,,,,,,,,,IEEE,IEEE Conferences,
The ENTICE approach to decompose monolithic services into microservices,G. Kecskemeti; A. C. Marosi; A. Kertesz,Institute for Computer Science and Control; Hungarian Academy of Sciences; 1111 Budapest; Kende u. 13-17; Hungary; Institute for Computer Science and Control; Hungarian Academy of Sciences; 1111 Budapest; Kende u. 13-17; Hungary; Institute for Computer Science and Control; Hungarian Academy of Sciences; 1111 Budapest; Kende u. 13-17; Hungary,2016 International Conference on High Performance Computing & Simulation (HPCS),,2016,,,591,596,,,,10.1109/HPCSim.2016.7568389,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7568389,cloud computing;microservices;service oriented architectures;virtual machine images,Cloud computing;Optimization;Virtual machining;Image generation;Companies;Quality of service,cloud computing;resource allocation;service-oriented architecture;virtual machines,ENTICE approach;monolithic services;microservices;cloud computing;elastic service provisioning;on-demand service provisioning;resource utilisation;virtual machines;proprietary repositories;provider lock-in;portability;large scale service oriented applications;image synthesis;optimisation tools;service oriented architecture,,,,,,,,,IEEE,IEEE Conferences,
